
{'EVT':{'Adc': [[20, 22, 22, 19, 19, 21, 21, 19], [566, 566, 567, 567, 570, 570, 585, 585]], 'Frq': 41998677, 'Evt': 2, 'Tks': 3808, 'Etm': 151847.1049546}}*{'BMP':{'Tmb': 22.9, 'Alb': 509.2, 'Prs': 953.57}}*{'ACL':{'Acz': 10.787315, 'Acy': -0.039227, 'Acx': -0.078453}}*{'MAG':{'Mgz': -16.734694, 'Mgy': -8.909091, 'Mgx': 0.727273}}*{'HTU':{'Tmh': 23.314, 'Hum': 36.8}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.096046, 'Alt': 494.5, 'Lon': 5.879559}}*{'TIM':{'Upt': 9000, 'Sec': 155710, 'Frq': 41998677}}*{'DAT':{'Dat': 'Tue Apr  5 15:57:12 2016'}}*{'SQN':{'Sqn': 81}} - ('81.28.206.54', 57178)

{'EVT':{'Adc': [[21, 26, 26, 23, 23, 22, 22, 21], [565, 565, 569, 569, 570, 570, 570, 570]], 'Frq': 41998677, 'Evt': 1, 'Tks': 4300097, 'Etm': 152400.1023865}}*{'BMP':{'Tmb': 22.9, 'Alb': 509.2, 'Prs': 953.57}}*{'ACL':{'Acz': 10.787315, 'Acy': -0.039227, 'Acx': -0.078453}}*{'MAG':{'Mgz': -16.734694, 'Mgy': -8.909091, 'Mgx': 0.727273}}*{'HTU':{'Tmh': 23.314, 'Hum': 36.8}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.096046, 'Alt': 494.5, 'Lon': 5.879559}}*{'TIM':{'Upt': 9000, 'Sec': 155710, 'Frq': 41998677}}*{'DAT':{'Dat': 'Tue Apr  5 15:57:12 2016'}}*{'SQN':{'Sqn': 82}} - ('81.28.206.54', 57178)

{'EVT':{'Adc': [[21, 20, 20, 21, 21, 21, 21, 20], [558, 558, 562, 562, 566, 566, 585, 585]], 'Frq': 41998676, 'Evt': 1, 'Tks': 4408315, 'Etm': 153923.1049632}}*{'BMP':{'Tmb': 22.9, 'Alb': 509.2, 'Prs': 953.57}}*{'ACL':{'Acz': 10.787315, 'Acy': -0.039227, 'Acx': -0.078453}}*{'MAG':{'Mgz': -16.734694, 'Mgy': -8.909091, 'Mgx': 0.727273}}*{'HTU':{'Tmh': 23.314, 'Hum': 36.8}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.096046, 'Alt': 494.5, 'Lon': 5.879559}}*{'TIM':{'Upt': 9000, 'Sec': 155710, 'Frq': 41998677}}*{'DAT':{'Dat': 'Tue Apr  5 15:57:12 2016'}}*{'SQN':{'Sqn': 83}} - ('81.28.206.54', 57178)

{'EVT':{'Adc': [[21, 21, 21, 21, 22, 22, 20, 20], [547, 559, 559, 564, 564, 568, 568, 581]], 'Frq': 41998676, 'Evt': 2, 'Tks': 2541, 'Etm': 153923.1050237}}*{'BMP':{'Tmb': 22.9, 'Alb': 509.2, 'Prs': 953.57}}*{'ACL':{'Acz': 10.787315, 'Acy': -0.039227, 'Acx': -0.078453}}*{'MAG':{'Mgz': -16.734694, 'Mgy': -8.909091, 'Mgx': 0.727273}}*{'HTU':{'Tmh': 23.314, 'Hum': 36.8}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.096046, 'Alt': 494.5, 'Lon': 5.879559}}*{'TIM':{'Upt': 9000, 'Sec': 155710, 'Frq': 41998677}}*{'DAT':{'Dat': 'Tue Apr  5 15:57:12 2016'}}*{'SQN':{'Sqn': 84}} - ('81.28.206.54', 57178)

{'EVT':{'Adc': [[20, 21, 21, 21, 21, 20, 20, 19], [563, 563, 567, 567, 569, 569, 606, 606]], 'Frq': 41998676, 'Evt': 3, 'Tks': 2751, 'Etm': 153923.1050892}}*{'BMP':{'Tmb': 22.9, 'Alb': 509.2, 'Prs': 953.57}}*{'ACL':{'Acz': 10.787315, 'Acy': -0.039227, 'Acx': -0.078453}}*{'MAG':{'Mgz': -16.734694, 'Mgy': -8.909091, 'Mgx': 0.727273}}*{'HTU':{'Tmh': 23.314, 'Hum': 36.8}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.096046, 'Alt': 494.5, 'Lon': 5.879559}}*{'TIM':{'Upt': 9000, 'Sec': 155710, 'Frq': 41998677}}*{'DAT':{'Dat': 'Tue Apr  5 15:57:12 2016'}}*{'SQN':{'Sqn': 85}} - ('81.28.206.54', 57178)
