
{'EVT':{'Adc': [[1108, 1110, 1107, 1114, 1114, 1113, 1116, 1121], [1102, 1110, 1110, 1114, 1112, 1116, 1114, 1112]], 'Frq': 41998682, 'Evt': 1, 'Tks': 4417463, 'Etm': 123218.105181}}*{'BMP':{'Tmb': 22.8, 'Alb': 502.8, 'Prs': 954.3}}*{'ACL':{'Acz': 10.63041, 'Acy': -0.313813, 'Acx': 0.0}}*{'MAG':{'Mgz': -16.530613, 'Mgy': -8.818182, 'Mgx': 3.0}}*{'HTU':{'Tmh': 23.024, 'Hum': 38.1}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.095932, 'Alt': 488.600006, 'Lon': 5.879629}}*{'TIM':{'Upt': 1548, 'Sec': 125729, 'Frq': 41998680}}*{'DAT':{'Dat': 'Sun Apr 17 12:57:33 2016'}}*{'SQN':{'Sqn': 11}} - ('81.28.206.54', 51572)

{'EVT':{'Adc': [[1108, 1111, 1113, 1116, 1115, 1117, 1112, 1115], [1115, 1110, 1110, 1113, 1117, 1115, 1116, 1120]], 'Frq': 41998681, 'Evt': 1, 'Tks': 4407114, 'Etm': 123242.1049346}}*{'BMP':{'Tmb': 22.8, 'Alb': 502.8, 'Prs': 954.3}}*{'ACL':{'Acz': 10.63041, 'Acy': -0.313813, 'Acx': 0.0}}*{'MAG':{'Mgz': -16.530613, 'Mgy': -8.818182, 'Mgx': 3.0}}*{'HTU':{'Tmh': 23.024, 'Hum': 38.1}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.095932, 'Alt': 488.600006, 'Lon': 5.879629}}*{'TIM':{'Upt': 1548, 'Sec': 125729, 'Frq': 41998680}}*{'DAT':{'Dat': 'Sun Apr 17 12:57:33 2016'}}*{'SQN':{'Sqn': 12}} - ('81.28.206.54', 51572)

{'EVT':{'Adc': [[1101, 1104, 1104, 1106, 1109, 1111, 1108, 1110], [1104, 1104, 1105, 1110, 1110, 1110, 1110, 1114]], 'Frq': 41998681, 'Evt': 1, 'Tks': 4409591, 'Etm': 123354.1049936}}*{'BMP':{'Tmb': 22.8, 'Alb': 502.8, 'Prs': 954.3}}*{'ACL':{'Acz': 10.63041, 'Acy': -0.313813, 'Acx': 0.0}}*{'MAG':{'Mgz': -16.530613, 'Mgy': -8.818182, 'Mgx': 3.0}}*{'HTU':{'Tmh': 23.024, 'Hum': 38.1}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.095932, 'Alt': 488.600006, 'Lon': 5.879629}}*{'TIM':{'Upt': 1548, 'Sec': 125729, 'Frq': 41998680}}*{'DAT':{'Dat': 'Sun Apr 17 12:57:33 2016'}}*{'SQN':{'Sqn': 13}} - ('81.28.206.54', 51572)

{'EVT':{'Adc': [[1109, 1108, 1108, 1107, 1113, 1114, 1112, 1112], [1109, 1110, 1103, 1112, 1112, 1115, 1114, 1112]], 'Frq': 41998681, 'Evt': 1, 'Tks': 4433944, 'Etm': 123454.1055734}}*{'BMP':{'Tmb': 22.8, 'Alb': 502.8, 'Prs': 954.3}}*{'ACL':{'Acz': 10.63041, 'Acy': -0.313813, 'Acx': 0.0}}*{'MAG':{'Mgz': -16.530613, 'Mgy': -8.818182, 'Mgx': 3.0}}*{'HTU':{'Tmh': 23.024, 'Hum': 38.1}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.095932, 'Alt': 488.600006, 'Lon': 5.879629}}*{'TIM':{'Upt': 1548, 'Sec': 125729, 'Frq': 41998680}}*{'DAT':{'Dat': 'Sun Apr 17 12:57:33 2016'}}*{'SQN':{'Sqn': 14}} - ('81.28.206.54', 51572)

{'EVT':{'Adc': [[1105, 1106, 1103, 1107, 1112, 1111, 1109, 1107], [1106, 1105, 1104, 1112, 1112, 1111, 1111, 1112]], 'Frq': 41998681, 'Evt': 1, 'Tks': 4407781, 'Etm': 123506.1049505}}*{'BMP':{'Tmb': 22.8, 'Alb': 502.8, 'Prs': 954.3}}*{'ACL':{'Acz': 10.63041, 'Acy': -0.313813, 'Acx': 0.0}}*{'MAG':{'Mgz': -16.530613, 'Mgy': -8.818182, 'Mgx': 3.0}}*{'HTU':{'Tmh': 23.024, 'Hum': 38.1}}*{'STS':{'Htu': 1, 'Acl': 1, 'Bmp': 1, 'Mag': 1, 'Qsz': 19, 'Mis': 0, 'Ter': 0}}*{'LOC':{'Lat': 46.095932, 'Alt': 488.600006, 'Lon': 5.879629}}*{'TIM':{'Upt': 1548, 'Sec': 125729, 'Frq': 41998680}}*{'DAT':{'Dat': 'Sun Apr 17 12:57:33 2016'}}*{'SQN':{'Sqn': 15}} - ('81.28.206.54', 51572)
